gold,pred,time_sec,support,avg_time,var_time
t:,t:,0.350000,2.000000,0.175000,0.027225
t,r,0.072000,2.000000,0.036000,0.000036
l,n,0.330000,2.000000,0.165000,0.009025
ħ,ħ,0.178000,2.000000,0.089000,0.000121
ħ,UNK,0.200000,2.000000,0.100000,0.000000
UNK,ħ,0.178000,2.000000,0.089000,0.000121
u,t,0.025000,2.000000,0.012500,0.000002
dˤ,u,0.051000,2.000000,0.025500,0.000020
rˤ,rˤ,0.110000,2.000000,0.055000,0.000025
rˤ,UNK,0.130000,2.000000,0.065000,0.000225
UNK,rˤ,0.188000,2.000000,0.094000,0.001156
t,θ,0.099000,2.000000,0.049500,0.000000
UNK,θ,0.349000,2.000000,0.174500,0.001332
r,t,0.173000,2.000000,0.086500,0.001560
i,r,0.059000,2.000000,0.029500,0.000000
a,k:,0.037000,2.000000,0.018500,0.000132
t,i,0.058000,2.000000,0.029000,0.000529
i,a,0.046000,2.000000,0.023000,0.000009
l:,i,0.007000,1.000000,0.007000,0.000000
u,ʒ,0.026000,1.000000,0.026000,0.000000
ʒ,ʒ,0.090000,1.000000,0.090000,0.000000
ʒ,UNK,0.090000,1.000000,0.090000,0.000000
UNK,ʒ,0.116000,1.000000,0.116000,0.000000
l,j,0.034000,1.000000,0.034000,0.000000
k,t,0.010000,1.000000,0.010000,0.000000
k,a,0.003000,1.000000,0.003000,0.000000
b,a,0.015000,1.000000,0.015000,0.000000
b,m,0.015000,1.000000,0.015000,0.000000
i,m,0.030000,1.000000,0.030000,0.000000
t,m,0.004000,1.000000,0.004000,0.000000
t,b,0.006000,1.000000,0.006000,0.000000
d:,t:,0.026000,1.000000,0.026000,0.000000
d:,n,0.023000,1.000000,0.023000,0.000000
d,u,0.035000,1.000000,0.035000,0.000000
d,n,0.036000,1.000000,0.036000,0.000000
χ,χ,0.110000,1.000000,0.110000,0.000000
χ,UNK,0.110000,1.000000,0.110000,0.000000
UNK,χ,0.110000,1.000000,0.110000,0.000000
sˤ:,sˤ:,0.130000,1.000000,0.130000,0.000000
sˤ:,UNK,0.130000,1.000000,0.130000,0.000000
UNK,sˤ:,0.130000,1.000000,0.130000,0.000000
a,r,0.033000,1.000000,0.033000,0.000000
n,r,0.011000,1.000000,0.011000,0.000000
n,b,0.030000,1.000000,0.030000,0.000000
ħ,n,0.022000,1.000000,0.022000,0.000000
l:,u,0.038000,1.000000,0.038000,0.000000
f,dˤ,0.014000,1.000000,0.014000,0.000000
i,t,0.009000,1.000000,0.009000,0.000000
dˤ,rˤ,0.078000,1.000000,0.078000,0.000000
s:,l,0.029000,1.000000,0.029000,0.000000
rˤ,a,0.020000,1.000000,0.020000,0.000000
a,n,0.009000,1.000000,0.009000,0.000000
b,d:,0.146000,1.000000,0.146000,0.000000
t:,zˤ,0.010000,1.000000,0.010000,0.000000
zˤ,zˤ,0.060000,1.000000,0.060000,0.000000
zˤ,UNK,0.060000,1.000000,0.060000,0.000000
a,zˤ,0.006000,1.000000,0.006000,0.000000
UNK,zˤ,0.078000,1.000000,0.078000,0.000000
l,s,0.055000,1.000000,0.055000,0.000000
m,l,0.051000,1.000000,0.051000,0.000000
m,n,0.010000,1.000000,0.010000,0.000000
q:,q:,0.120000,1.000000,0.120000,0.000000
q:,UNK,0.120000,1.000000,0.120000,0.000000
UNK,q:,0.120000,1.000000,0.120000,0.000000
t,l,0.030000,1.000000,0.030000,0.000000
t:,u,0.010000,1.000000,0.010000,0.000000
ʒ:,ʒ:,0.250000,1.000000,0.250000,0.000000
ʒ:,UNK,0.250000,1.000000,0.250000,0.000000
UNK,ʒ:,0.250000,1.000000,0.250000,0.000000
s,i,0.008000,1.000000,0.008000,0.000000
i,j,0.199000,1.000000,0.199000,0.000000
m:,m:,0.170000,1.000000,0.170000,0.000000
m:,UNK,0.170000,1.000000,0.170000,0.000000
u,m:,0.005000,1.000000,0.005000,0.000000
UNK,m:,0.175000,1.000000,0.175000,0.000000
u,θ,0.031000,1.000000,0.031000,0.000000
l,i,0.087000,1.000000,0.087000,0.000000
i,w,0.016000,1.000000,0.016000,0.000000
i,ʁ,0.093000,1.000000,0.093000,0.000000
ʁ,r,0.025000,1.000000,0.025000,0.000000
ʁ,m,0.005000,1.000000,0.005000,0.000000
r,m,0.030000,1.000000,0.030000,0.000000
r,d,0.012000,1.000000,0.012000,0.000000
s,g,0.030000,1.000000,0.030000,0.000000
z,n,0.008000,1.000000,0.008000,0.000000
b,s,0.051000,1.000000,0.051000,0.000000
u,g,0.013000,1.000000,0.013000,0.000000
f,a,0.060000,1.000000,0.060000,0.000000
f,r,0.006000,1.000000,0.006000,0.000000
s,u,0.007000,1.000000,0.007000,0.000000
r,u,0.014000,1.000000,0.014000,0.000000
UNK,rˤ:,0.251000,1.000000,0.251000,0.000000
rˤ:,ʃ:,0.030000,1.000000,0.030000,0.000000
rˤ:,UNK,0.030000,1.000000,0.030000,0.000000
ʃ:,ʃ:,0.274000,1.000000,0.274000,0.000000
ʃ:,UNK,0.274000,1.000000,0.274000,0.000000
UNK,ʃ:,0.318000,1.000000,0.318000,0.000000
u,χ:,0.004000,1.000000,0.004000,0.000000
t,ts,0.224000,1.000000,0.224000,0.000000
UNK,ts,0.224000,1.000000,0.224000,0.000000
i,g,0.017000,1.000000,0.017000,0.000000
d,j,0.011000,1.000000,0.011000,0.000000
r,i,0.012000,1.000000,0.012000,0.000000
r,n,0.068000,1.000000,0.068000,0.000000
t,u,0.009000,1.000000,0.009000,0.000000
t,tʃ,0.122000,1.000000,0.122000,0.000000
UNK,tʃ,0.122000,1.000000,0.122000,0.000000
t,t:,0.206000,1.000000,0.206000,0.000000
i,t:,0.010000,1.000000,0.010000,0.000000
t:,a,0.010000,1.000000,0.010000,0.000000
s:,i,0.010000,1.000000,0.010000,0.000000
ʁ,n,0.049000,1.000000,0.049000,0.000000
d,θ,0.020000,1.000000,0.020000,0.000000
d:,t,0.062000,1.000000,0.062000,0.000000
b,ɡʷ,0.070000,1.000000,0.070000,0.000000
u,ɡʷ,0.058000,1.000000,0.058000,0.000000
UNK,ɡʷ,0.176000,1.000000,0.176000,0.000000
u,r,0.012000,1.000000,0.012000,0.000000
ɡʷ,r,0.010000,1.000000,0.010000,0.000000
ɡʷ,UNK,0.010000,1.000000,0.010000,0.000000
s,r,0.027000,1.000000,0.027000,0.000000
s,a,0.020000,1.000000,0.020000,0.000000
s,d,0.007000,1.000000,0.007000,0.000000
d:,a,0.004000,1.000000,0.004000,0.000000
j,u,0.010000,1.000000,0.010000,0.000000
f,u,0.007000,1.000000,0.007000,0.000000
f,g,0.007000,1.000000,0.007000,0.000000
a,w,0.026000,1.000000,0.026000,0.000000
l,a,0.013000,1.000000,0.013000,0.000000
a,t,0.034000,1.000000,0.034000,0.000000
ʁ,i,0.009000,1.000000,0.009000,0.000000
